Date,Open,High,Low,Close,Average,Volume,Value
2022-10-28 00:00:00.0,670.0,672.0,657.0,667.0,665.4084213451918,287840.0,1.9153116E8
2022-10-27 00:00:00.0,650.0,675.0,648.5,670.0,668.8984057893613,374480.0,2.50489075E8
2022-10-26 00:00:00.0,640.0,649.0,634.0,643.0,643.4451905626134,55100.0,3.545383E7
2022-10-25 00:00:00.0,650.5,652.0,645.0,647.0,650.2824143070045,13420.0,8726790.0
2022-10-21 00:00:00.0,645.0,662.0,638.0,659.0,653.4537560581583,346640.0,2.2651321E8
2022-10-20 00:00:00.0,649.0,661.0,628.0,649.5,648.0051144802848,356830.0,2.31227665E8
2022-10-19 00:00:00.0,645.0,653.0,630.0,653.0,645.3373296314992,198100.0,1.27841325E8
2022-10-18 00:00:00.0,620.5,649.0,617.0,649.0,638.4820807813276,362460.0,2.31424215E8
2022-10-17 00:00:00.0,605.0,621.5,600.0,610.0,613.2687081339712,156750.0,9.612987E7
2022-10-14 00:00:00.0,612.0,619.0,607.5,608.0,612.8937376725838,365040.0,2.2373073E8
2022-10-13 00:00:00.0,610.0,612.0,597.0,597.0,601.4318288870809,233530.0,1.40452375E8
2022-10-12 00:00:00.0,598.0,610.0,596.0,610.0,606.5779840649428,133040.0,8.0699135E7
2022-10-11 00:00:00.0,612.0,620.0,581.0,596.5,597.6062327731839,562350.0,3.36063865E8
2022-10-10 00:00:00.0,629.0,629.0,610.0,610.0,614.0478904219157,200040.0,1.2283414E8
2022-10-07 00:00:00.0,629.0,635.0,621.0,630.0,629.1893576222435,52150.0,3.2812225E7
2022-10-06 00:00:00.0,631.0,648.0,629.0,629.0,632.9923455302916,199230.0,1.26111065E8
2022-10-05 00:00:00.0,659.0,659.0,626.5,636.0,636.4086737196104,142730.0,9.083461E7
2022-10-04 00:00:00.0,626.0,647.0,621.0,645.0,640.9298240562099,347270.0,2.225757E8
2022-10-03 00:00:00.0,613.0,625.5,605.0,616.0,613.3401245585387,263330.0,1.61510855E8
2022-09-30 00:00:00.0,630.0,652.0,616.0,616.0,624.9128540305011,422280.0,2.638882E8
2022-09-29 00:00:00.0,665.5,666.0,644.0,644.0,653.5478303747534,172380.0,1.12658575E8
2022-09-28 00:00:00.0,665.0,665.0,636.0,647.0,648.7819195661307,261830.0,1.6987057E8
2022-09-27 00:00:00.0,690.0,690.0,632.0,670.0,655.2177822843271,675560.0,4.42638925E8
2022-09-23 00:00:00.0,691.0,700.0,688.0,696.0,694.8464759625843,91940.0,6.3884185E7
2022-09-22 00:00:00.0,690.0,700.0,682.5,700.0,692.8667985644612,108670.0,7.5293835E7
2022-09-21 00:00:00.0,705.0,708.0,689.0,698.0,696.908707274584,332940.0,2.32028785E8
2022-09-20 00:00:00.0,706.0,715.5,703.0,703.0,707.0669130706091,208330.0,1.4730325E8
2022-09-19 00:00:00.0,734.0,734.0,703.0,703.0,708.9071734666547,224020.0,1.58809385E8
2022-09-16 00:00:00.0,745.0,749.5,729.0,731.5,732.1063121095224,1907920.0,1.396800275E9
2022-09-15 00:00:00.0,729.5,748.0,724.0,748.0,740.6923007096881,605900.0,4.48785465E8
